Rider_ID,Date,Trip_ID,Trip_Distance_km,Trip_Duration_min,Average_Speed_kmph,Acceleration_Pattern,Braking_Pattern,Energy_Consumption_kWh_per_km,Idle_Time_min,Voltage_V,Current_A,Energy_kWh,Charge_Cycles,Depth_of_Discharge_percent,Temperature_C,Charging_Start_Time,Charging_End_Time,Charging_Power_kW,Charging_Duration_min,Charging_Type,Charging_Station_Location,Battery_Charge_Efficiency_percent,Battery_Health_percent,Estimated_Range_km,Recommended_Action
R076,2025-01-14,T00001,23.5,48,29.4,Moderate,Mild,0.127,5,47.5,15.0,3.0,125,65,24,2025-01-14 19:32,2025-01-14 20:57,7.2,85,Standard,Home,92.5,95.3,68,Normal charging
R032,2025-01-03,T00002,18.7,39,28.7,Mild,Mild,0.115,4,47.8,14.2,2.2,182,58,21,2025-01-03 18:15,2025-01-03 19:25,7.2,70,Standard,Home,91.2,93.8,74,Normal charging
R093,2025-02-08,T00003,42.3,76,33.4,Aggressive,Moderate,0.165,10,46.8,16.7,7.0,243,78,29,2025-02-08 20:47,2025-02-08 23:02,11.0,135,Fast,Public Station E,87.5,83.6,52,Consider battery health check
R015,2025-01-23,T00004,27.9,54,31.0,Moderate,Moderate,0.138,6,47.2,15.5,3.9,115,69,25,2025-01-23 19:08,2025-01-23 20:38,7.2,90,Standard,Home,93.4,96.2,65,Normal charging
R044,2025-02-14,T00005,35.6,67,31.9,Moderate,Aggressive,0.152,8,46.9,16.0,5.4,194,74,28,2025-02-14 20:02,2025-02-14 21:52,7.2,110,Standard,Home,90.1,88.7,58,Smoother braking recommended
R067,2025-01-08,T00006,14.8,32,27.8,Mild,Mild,0.112,3,48.0,14.0,1.7,167,52,20,2025-01-08 17:50,2025-01-08 18:45,7.2,55,Standard,Home,91.8,93.4,76,Normal charging
R025,2025-02-20,T00007,45.2,78,34.8,Aggressive,Aggressive,0.173,12,46.5,17.2,7.8,175,82,31,2025-02-20 21:15,2025-02-20 23:45,11.0,150,Fast,Public Station B,86.3,92.1,53,Reduce aggressive riding style
R081,2025-01-30,T00008,21.5,43,30.0,Moderate,Mild,0.131,5,47.6,15.2,2.8,131,63,23,2025-01-30 18:42,2025-01-30 20:07,7.2,85,Standard,Home,92.8,94.6,69,Normal charging
R009,2025-02-05,T00009,33.7,65,31.1,Moderate,Moderate,0.142,7,47.0,15.7,4.8,109,72,26,2025-02-05 19:55,2025-02-05 21:35,7.2,100,Standard,Home,93.7,96.8,64,Normal charging
R058,2025-01-19,T00010,15.9,35,27.3,Mild,Mild,0.110,4,48.1,13.8,1.7,158,53,19,2025-01-19 17:30,2025-01-19 18:30,7.2,60,Standard,Home,92.2,94.0,77,Normal charging
R037,2025-02-25,T00011,38.4,71,32.4,Moderate,Aggressive,0.157,9,46.8,16.3,6.0,187,76,29,2025-02-25 20:35,2025-02-25 22:30,11.0,115,Fast,Public Station C,87.9,89.2,56,Smoother braking recommended
R072,2025-01-11,T00012,19.3,41,28.2,Mild,Moderate,0.124,5,47.7,14.6,2.4,171,60,22,2025-01-11 18:25,2025-01-11 19:35,7.2,70,Standard,Home,91.5,92.7,71,Normal charging
R023,2025-02-17,T00013,44.8,79,34.0,Aggressive,Moderate,0.168,11,46.6,16.9,7.5,123,80,30,2025-02-17 21:10,2025-02-17 23:35,11.0,145,Fast,Public Station F,87.0,95.4,54,Limit fast charging sessions
R096,2025-01-27,T00014,25.6,51,30.1,Moderate,Mild,0.134,6,47.4,15.3,3.4,247,67,24,2025-01-27 19:00,2025-01-27 20:25,7.2,85,Standard,Home,86.8,83.0,59,Consider battery health check
R051,2025-02-03,T00015,32.8,63,31.2,Moderate,Moderate,0.143,7,47.1,15.6,4.7,201,71,26,2025-02-03 19:50,2025-02-03 21:25,7.2,95,Standard,Home,89.5,87.3,58,Monitor battery temperature
R018,2025-01-16,T00016,16.7,36,27.8,Mild,Mild,0.113,4,48.0,14.1,1.9,118,54,20,2025-01-16 17:40,2025-01-16 18:45,7.2,65,Standard,Home,93.2,96.5,78,Normal charging
R063,2025-02-22,T00017,40.5,74,32.8,Aggressive,Moderate,0.162,10,46.7,16.5,6.6,163,77,29,2025-02-22 20:55,2025-02-22 22:55,11.0,120,Fast,Public Station D,87.4,93.2,55,Limit fast charging sessions
R085,2025-01-05,T00018,22.4,45,29.9,Moderate,Mild,0.130,5,47.6,15.1,2.9,135,62,23,2025-01-05 18:35,2025-01-05 20:00,7.2,85,Standard,Home,92.6,94.3,69,Normal charging
R039,2025-01-21,T00019,31.5,61,31.0,Moderate,Moderate,0.140,7,47.2,15.5,4.4,189,70,25,2025-01-21 19:45,2025-01-21 21:20,7.2,95,Standard,Home,90.3,88.9,59,Monitor battery temperature
R004,2025-02-11,T00020,17.8,38,28.1,Mild,Mild,0.114,4,47.9,14.2,2.0,104,56,21,2025-02-11 17:50,2025-02-11 18:55,7.2,65,Standard,Home,94.0,97.2,79,Normal charging
R099,2025-01-31,T00021,43.6,78,33.5,Aggressive,Aggressive,0.175,11,46.5,17.3,7.6,249,81,31,2025-01-31 21:20,2025-01-31 23:50,11.0,150,Fast,Public Station K,86.5,82.7,50,Schedule battery service
R027,2025-02-07,T00022,24.7,49,30.2,Moderate,Mild,0.133,5,47.5,15.2,3.3,177,65,24,2025-02-07 19:05,2025-02-07 20:30,7.2,85,Standard,Home,91.0,92.3,66,Normal charging
R056,2025-01-18,T00023,36.9,69,32.1,Moderate,Aggressive,0.154,8,46.8,16.1,5.7,156,75,28,2025-01-18 20:15,2025-01-18 22:10,7.2,115,Standard,Home,92.0,93.7,57,Smoother braking recommended
R042,2025-02-28,T00024,15.3,33,27.8,Mild,Mild,0.111,3,48.0,13.9,1.7,192,53,20,2025-02-28 17:35,2025-02-28 18:35,7.2,60,Standard,Home,90.0,88.5,76,Normal charging
R071,2025-01-25,T00025,41.8,75,33.4,Aggressive,Moderate,0.164,10,46.7,16.8,6.9,221,79,30,2025-01-25 21:00,2025-01-25 23:15,11.0,135,Fast,Public Station J,87.2,86.4,52,Limit fast charging sessions
R013,2025-02-15,T00026,20.6,42,29.4,Moderate,Mild,0.129,5,47.7,15.0,2.7,113,61,22,2025-02-15 18:30,2025-02-15 19:50,7.2,80,Standard,Home,93.5,96.7,72,Normal charging
R088,2025-01-08,T00027,30.4,59,30.9,Moderate,Moderate,0.139,7,47.2,15.4,4.2,238,69,25,2025-01-08 19:40,2025-01-08 21:10,7.2,90,Standard,Home,87.2,84.5,59,Consider battery health check
R030,2025-02-19,T00028,18.5,39,28.5,Mild,Mild,0.116,4,47.8,14.3,2.1,180,57,21,2025-02-19 18:10,2025-02-19 19:20,7.2,70,Standard,Home,90.8,91.2,74,Normal charging
R061,2025-01-29,T00029,39.7,72,33.1,Aggressive,Moderate,0.160,10,46.7,16.4,6.4,161,76,29,2025-01-29 20:45,2025-01-29 22:45,11.0,120,Fast,Public Station H,88.5,93.5,56,Limit fast charging sessions
R095,2025-02-06,T00030,23.8,48,29.8,Moderate,Mild,0.132,5,47.5,15.2,3.1,245,64,24,2025-02-06 19:00,2025-02-06 20:25,7.2,85,Standard,Home,87.0,83.3,60,Consider battery health check
R047,2025-01-15,T00031,34.5,66,31.4,Moderate,Moderate,0.145,8,47.0,15.8,5.0,197,73,27,2025-01-15 19:55,2025-01-15 21:35,7.2,100,Standard,Home,89.8,87.9,57,Monitor battery temperature
